"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Glenmalure Square, Milltown Road, Milltown, Dublin 6"
"€1,800 monthly","1 bedroom (1 double), 1 bathroom, furnished","Maple House, Mespil Estate, Sussex Road, Ballsbridge, Dublin 4"
"€1,325 monthly","1 bedroom (1 double), 1 bathroom, furnished","(1) Tallaght Cross East, Tallaght, Dublin 24"
"€2,000 monthly","2 bedrooms (2 double), 1 bathroom, furnished or unfurnished","Belville Apartments, Ailesbury Close, Ailesbury Ro, Donnybrook, Dublin 4"
"€1,500 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Thornfeild Square, Clondalkin, Dublin 22"
"€1,700 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","23a Watermill Road, Raheny, Dublin 5"
"€1,092 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","The Turnpike, Santry Cross, Ballymun, Dublin 11"
"€1,250 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","The Metropolitan Inchicore Road, Kilmainham, Dublin 8"
"€1,000 monthly",studio apartment to rent,"Killarney Parade, Dublin 7"
"€1,995 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Howth, Howth, Dublin 13"
"€1,500 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Cherrywood Park, Clondalkin, Dublin 22"
"€1,100 monthly","1 bedroom (1 twin), 1 bathroom, furnished","Palmerston Place, Dublin 7"
"€2,000 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Galtrim Grange, Malahide, Co. Dublin"
"€1,300 monthly","1 bedroom (1 double), 2 bathrooms, furnished","The Chandler, Ashtown Village Centre, Rathborne, Ashtown, Dublin 7"
"€1,450 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","54 Gleann Ribh Lusk, Lusk, Co. Dublin"
"€1,750 monthly","2 bedrooms (2 double), 1 bathroom, furnished","156 Woodfield, Knocklyon, Dublin 16"
"€1,850 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","Cill Cais, Old Bawn, Tallaght, Dublin 24"
"€1,470 monthly","1 bedroom (1 double), 1 bathroom, furnished","Beechwood Court, Stillorgan, Co. Dublin"
"€1,600 monthly","1 bedroom (1 double), 1 bathroom, furnished","25 Richmond Avenue, Fairview, Dublin 3"
"€1,800 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","25 Richmond Avenue, Fairview, Dublin 3"
"€1,850 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","8 Cruagh Close Cruagh Manor, Stepaside, Dublin 18"
"€1,800 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","Viking Road, Stoneybatter, Dublin 7"
"€2,000 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","Limekiln Avenue, Walkinstown, Dublin 12"
"€1,600 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Stocking Well Close, Rathfarnham, Dublin 14"
"€1,650 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","St. Mary\'s Park, Crumlin, Dublin 12"
"€1,045 monthly",studio apartment to rent,"Terenure Road East, Rathgar, Dublin 6"
"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Marlborough Court, Marlborough street, Dublin 1"
"€1,610 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Loreto Abbey, Rathfarnham, Dublin 14"
"€1,400 monthly",studio apartment to rent,"Pembroke Road, Ballsbridge, Dublin 4"
"€1,450 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Beechwood Downs, Hartstown, Clonsilla, Hartstown, Dublin 15"
"€1,900 monthly","4 bedrooms (1 single, 3 double), 4 bathrooms, furnished","1, Chapel Farm Square, Lusk, Co. Dublin"
"€1,300 monthly","2 bedrooms (2 double), 1 bathroom, furnished or unfurnished","Barrons Hall Park, Balbriggan, Co. Dublin"
"€1,800 monthly","2 bedrooms (2 double), 1 bathroom, furnished","The Courtyard, North Great Georges Street, Dublin 1"
"€1,650 monthly","1 bedroom (1 double), 1 bathroom, furnished","Smithfield Market, Smithfield, Dublin 7"
"€1,525 monthly","1 bedroom (1 double), 1 bathroom, furnished","Thomas Street, Dublin 8"
"€1,250 monthly","1 bedroom (1 double), 1 bathroom, furnished","Apt 2, 13 Granville Crescent, Cabinteely, Dublin 18"
"€1,700 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Belmayne Park South, Balgriffin, Dublin 13"
"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Rathgar Road, Rathgar, Dublin 6"
"€1,100 monthly",studio apartment to rent,"36 Upper Gardiner Street, Dublin 1"
"€1,512 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Keane Hall, Collegewood, Castleknock, Dublin 15"
"€1,600 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","Cherry Orchard Crescent, Cherry Orchard, Dublin 10"
"€1,800 monthly","2 bedrooms (2 double), 1 bathroom, furnished","4 Haddon Court, Haddon Rd. Clontarf, Clontarf, Dublin 3"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","Cabra Road, Cabra, Dublin 7"
"€1,350 monthly","1 bedroom (1 double), 1 bathroom, furnished","Ranelagh Road, Dublin 6, Ranelagh, Dublin 6"
"€1,800 monthly","2 bedrooms (2 double), 1 bathroom, furnished or unfurnished","Niall Street, Stoneybatter, Dublin 7"
"€1,950 monthly","1 bedroom (1 double), 2 bathrooms, furnished","5 Copebridge House, Spencer Dock, Dublin 1, IFSC, Dublin 1"
"€1,250 monthly","1 bedroom (1 double), 1 bathroom, furnished","Grove Park, Rathmines, Dublin 6"
"€1,800 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Hazelbrook, Upper Kilmacud Road, Sandyford, Dublin 18"
€950 monthly,studio apartment to rent,"4 Drumcondra Road Upper, Drumcondra, Dublin 9"
"€1,550 monthly","3 bedrooms (1 single, 2 double), 2 bathrooms, furnished","Sundale, Tallaght, Dublin 24"
"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Bracken Hill, Blackglen Road, Sandyford, Dublin 18"
"€1,500 monthly","1 bedroom (1 double), 1 bathroom, furnished","Bachelors Walk, N Lotts Road, Dublin 1"
